*** Booting nRF Connect SDK v3.0.2-89ba1294ac9b ***
*** Using Zephyr OS v4.0.99-f791c49f492c ***
[00:00:00.000,335] [0m<inf> imu_replay_test: IMU_REPLAY_TEST_START[0m
[00:00:00.000,549] [0m<inf> imu_bsp: LSM6DSV16BX WHO_AM_I Value: 113[0m
[00:00:00.001,373] [0m<inf> imu: Thread running[0m
[00:00:00.001,373] [0m<inf> imu: Applying new configuration[0m
[00:00:00.002,563] [0m<inf> imu_replay_test: IMU_REPLAY_CONFIGURED odr=60[0m
[00:00:00.002,746] [0m<inf> imu_replay_test: FILTER_INITIALIZED odr=60[0m
[00:00:00.002,838] [0m<inf> imu_replay_test: IMU_REPLAY_DATA_START[0m
acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,quat_w,quat_x,quat_y,quat_z
QUAT,0,19,-0.328068763,0.856501997,2.79808883e-05,0.398466021
QUAT,1,35,-0.327874035,0.856694162,0.000344579283,0.398213208
QUAT,2,52,-0.327784777,0.856677234,0.000368223991,0.39832297
QUAT,3,69,-0.327775747,0.856749952,0.000170847939,0.398174196
QUAT,4,85,-0.327736646,0.856924176,0.000135707262,0.397831142
QUAT,5,102,-0.327755034,0.857024908,6.98960284e-05,0.397599131
QUAT,6,119,-0.327807069,0.857014179,-0.000153083223,0.397579432
QUAT,7,135,-0.327828795,0.856958926,-0.000309613562,0.397680491
QUAT,8,152,-0.32776612,0.856918335,-0.000186920704,0.397819787
QUAT,9,169,-0.327624291,0.856945515,7.72872663e-05,0.397877932
QUAT,10,185,-0.327520102,0.857023358,0.000151794549,0.397795618
QUAT,11,202,-0.327523202,0.857100546,-8.03139574e-06,0.397627264
QUAT,12,219,-0.327507079,0.857116461,-1.58218591e-05,0.397606045
QUAT,13,235,-0.327470392,0.85717696,4.53317771e-05,0.397505909
QUAT,14,252,-0.327449948,0.85720706,0.0001282827,0.397457927
QUAT,15,269,-0.327396423,0.857195139,0.000223938914,0.397527486
QUAT,16,285,-0.327328205,0.857166767,0.000307445618,0.397644848
QUAT,17,302,-0.327307612,0.857155681,0.000313075114,0.397685826
QUAT,18,319,-0.327310741,0.857218981,0.000249424222,0.397546828
QUAT,19,335,-0.327308774,0.857299447,0.000242359616,0.397374839
QUAT,20,352,-0.327311009,0.857366562,0.000295842619,0.397228211
QUAT,21,369,-0.327292025,0.857439101,0.000314586214,0.397086859
QUAT,22,385,-0.327257127,0.857410729,0.000376156066,0.397176623
QUAT,23,402,-0.327182293,0.857396901,0.000463511067,0.397268444
QUAT,24,419,-0.327082962,0.857444882,0.000529175217,0.39724645
QUAT,25,435,-0.327014506,0.857489705,0.000593925826,0.397206008
QUAT,26,452,-0.3269642,0.857524335,0.000624452892,0.39717257
QUAT,27,469,-0.326937109,0.857551217,0.000603649823,0.397137165
QUAT,28,485,-0.326883376,0.857571065,0.000612575677,0.397138566
QUAT,29,502,-0.326816082,0.857564747,0.000626891851,0.397207648
QUAT,30,519,-0.326792419,0.85754329,0.00056221243,0.397273272
QUAT,31,535,-0.326798648,0.857504129,0.000508984609,0.397352546
QUAT,32,552,-0.326773435,0.857492805,0.000505385047,0.397397876
QUAT,33,569,-0.32672897,0.857563972,0.000551830512,0.397280842
QUAT,34,585,-0.326621145,0.857750595,0.000604614674,0.396966249
QUAT,35,602,-0.326565564,0.857864141,0.000747447077,0.396766424
QUAT,36,619,-0.326567352,0.857949674,0.000864548259,0.396579832
QUAT,37,635,-0.326593697,0.857985795,0.000842886569,0.396480113
QUAT,38,652,-0.326651573,0.857922494,0.000717324554,0.396569401
QUAT,39,669,-0.326687455,0.857851028,0.000546622439,0.396694809
QUAT,40,685,-0.326693416,0.857833862,0.000350535731,0.396727175
QUAT,41,702,-0.326684773,0.857835531,0.000196438661,0.396730691
QUAT,42,719,-0.326674044,0.857823968,0.000113274582,0.396764517
QUAT,43,735,-0.326675832,0.857799292,5.85454836e-05,0.396816432
QUAT,44,752,-0.326676458,0.857760787,7.71167688e-05,0.396899283
QUAT,45,769,-0.326702625,0.857701957,0.000131219247,0.397004992
QUAT,46,785,-0.326734036,0.857662499,0.000164611934,0.397064358
QUAT,47,802,-0.326773643,0.857672989,0.000157511182,0.397009104
QUAT,48,819,-0.326800287,0.857717276,0.000121223362,0.396891505
QUAT,49,835,-0.326833487,0.857753873,6.93953043e-05,0.396784931
QUAT,50,852,-0.326891601,0.85768503,3.85438616e-05,0.396885902
QUAT,51,869,-0.326940835,0.857603848,4.39109608e-05,0.397020459
QUAT,52,885,-0.326999128,0.857500553,5.78448016e-05,0.397195816
QUAT,53,902,-0.327017337,0.857436299,2.89490181e-05,0.397319466
QUAT,54,919,-0.326987237,0.857422173,-5.27450065e-05,0.39737463
QUAT,55,935,-0.326974303,0.857420206,-0.00015547013,0.397389591
QUAT,56,952,-0.326982051,0.857408404,-0.000221783223,0.397408545
